VRM,MAKE,MODEL,AGE_GROUP,BODY_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,COLOUR,PRICE,MILEAGE,RETAIL_DESIRABILITY_SCORE,PASSENGERS
BW23EUC,TOYOTA,AYGO X,0-2 years old,hatchback,PETROL,manual,BEIGE,13330,2240,0.6589083421,5
YE23FVG,NISSAN,JUKE,0-2 years old,suv,PETROL,manual,RED,13200,13065,0.6576663151,8
LC23TZY,MG,MG4,0-2 years old,suv,ELECTRIC,automatic,GREY,16050,15739,0.5700672262,8
NV04HAZ,HONDA,CR-V,3-4 years old,suv,PETROL,manual,BLACK,18750,37869,0.5935644618,8
DA18VBC,KIA,STONIC,7-8 years old,suv,DIESEL,manual,GREY,10450,31785,0.339002007,8
ND22VLT,MINI,HATCHBACK,3-4 years old,hatchback,ELECTRIC,automatic,SILVER,12300,14941,0.9581766853,5
YW73BXX,JEEP,AVENGER,0-2 years old,suv,PETROL,manual,RED,19350,16906,0.5151718407,8
GC19OPT,BMW,I3,5-6 years old,hatchback,ELECTRIC,automatic,WHITE,10850,22290,0.6585994294,5
LG20NKH,BMW,X5,5-6 years old,suv,PETROL,semiAutomatic,BLACK,34900,10678,0.3358625243,8
NC19BPY,FORD,FIESTA,5-6 years old,hatchback,PETROL,manual,RED,14150,30401,0.7751676645,5
FX69NTJ,MERCEDES-BENZ,GLA,5-6 years old,suv,PETROL,manual,WHITE,15950,42661,0.6335795685,8
LT03HLT,PEUGEOT,2008,5-6 years old,suv,PETROL,manual,RED,11950,43584,0.6742005465,8
LX70TPV,AUDI,A3,3-4 years old,hatchback,PETROL,manual,BLACK,19440,22068,0.7634919688,5
BC21LNF,HYUNDAI,TUCSON,3-4 years old,suv,PETROLELECTRICHYBRID,semiAutomatic,BLACK,18900,35342,0.6405045673,8
YS69HMG,VOLVO,XC40,5-6 years old,suv,DIESEL,manual,WHITE,19900,49479,0.6563470082,8
YJ20WNG,VOLVO,XC60,5-6 years old,suv,PETROL,semiAutomatic,BLUE,22850,70184,0.7245853327,8
HL19AOC,RENAULT,CAPTUR,5-6 years old,suv,DIESEL,manual,RED,9400,38848,0.6582711636,8
DY19UPV,HYUNDAI,TUCSON,5-6 years old,suv,PETROL,semiAutomatic,GREY,15050,32592,0.7138737456,8
WA70XPM,LAND ROVER,DISCOVERY SPORT,3-4 years old,suv,DIESEL,automatic,BLACK,20900,71689,0.6501471311,8
VK73HCC,VOLKSWAGEN,GOLF,0-2 years old,hatchback,PETROLPLUGINELECTRICHYBRID,semiAutomatic,WHITE,22850,20787,0.8603212192,5
DY21NFD,MAZDA,MAZDA2,3-4 years old,hatchback,PETROL,manual,BLUE,12940,15864,0.6585305929,5
YE21BGO,SEAT,ATECA,3-4 years old,suv,PETROL,manual,GREY,15650,29790,0.612215839,8
LR70ZLZ,MERCEDES-BENZ,GLC COUPE,3-4 years old,suv,DIESEL,semiAutomatic,BLACK,28800,37848,0.5425696903,8
SE17ZVT,HYUNDAI,I10,7-8 years old,hatchback,PETROL,manual,WHITE,7950,31163,0.6535094247,5
LM21JWK,AUDI,Q5,3-4 years old,suv,DIESEL,semiAutomatic,WHITE,26200,35277,0.6372933645,8
GD19UXS,VOLKSWAGEN,POLO,5-6 years old,hatchback,PETROL,manual,RED,10800,52984,0.820079491,5
CP21KPA,VOLKSWAGEN,POLO,3-4 years old,hatchback,PETROL,semiAutomatic,SILVER,14940,31942,0.5705836628,5
HF20XEZ,TOYOTA,PRIUS+,5-6 years old,mpv,PETROLELECTRICHYBRID,automatic,GREY,19900,25203,0.6603144216,8
DS22UYK,HYUNDAI,IONIQ 5,3-4 years old,suv,ELECTRIC,automatic,GREY,21500,43372,0.5560717574,8
SM19GXG,FORD,KA+,5-6 years old,hatchback,PETROL,manual,RED,9150,22748,0.7312512865,5
AF21RDV,LAND ROVER,RANGE ROVER EVOQUE,3-4 years old,suv,DIESEL,manual,WHITE,18250,32019,0.8246960162,8
SA69BFP,BMW,4 SERIES GRAN COUPE,5-6 years old,hatchback,PETROL,manual,BLACK,14350,60848,0.7075095239,5
NXZ7204,FORD,KUGA,7-8 years old,suv,DIESEL,manual,GREY,9350,62924,0.5405269986,8
YE22FGD,BMW,X2,3-4 years old,suv,PETROL,semiAutomatic,GREY,20750,48105,0.7427941655,8
MV72KWS,MERCEDES-BENZ,CLA,0-2 years old,coupe,DIESEL,semiAutomatic,BLUE,21680,62279,0.6362880366,4
YS70JKN,FIAT,PANDA,3-4 years old,hatchback,PETROL,manual,GREY,10400,18495,0.7288748589,5
